Image 	 Size(Bytes) 	 Luminance 	 Contrast 	 AspectRatio 	 Width(Pixels) 	 Red 	 Green 	 Blue 
51048.jpg 	 141138 	 102.2560 	 0.2998 	 0.664444 	 450 	 90.5798 	 106.6101 	 110.5454 
51055.jpg 	 128245 	 85.2444 	 0.3007 	 0.664444 	 450 	 85.2408 	 85.8152 	 82.2835 
51059.jpg 	 121215 	 75.1124 	 0.2365 	 0.666667 	 450 	 77.1058 	 75.7523 	 66.5887 
51078.jpg 	 129544 	 139.3675 	 0.2502 	 0.664444 	 450 	 146.0177 	 137.6861 	 130.5359 
51155.jpg 	 106709 	 81.1883 	 0.1523 	 0.664444 	 450 	 91.4495 	 77.6211 	 72.9260 
51166.jpg 	 135671 	 92.3628 	 0.2330 	 0.664444 	 450 	 92.0856 	 94.7623 	 80.6923 
51180.jpg 	 118015 	 96.2652 	 0.1609 	 0.664444 	 450 	 104.0339 	 94.7396 	 83.7337 
51182.jpg 	 99882 	 154.5245 	 0.1343 	 0.664444 	 450 	 158.5212 	 152.9356 	 152.2400 
51190.jpg 	 128759 	 122.7852 	 0.1538 	 0.666667 	 450 	 140.7494 	 118.9172 	 95.5326 
51192.jpg 	 103347 	 117.1824 	 0.1532 	 0.664444 	 450 	 119.8895 	 119.4829 	 98.4187 
51198.jpg 	 147588 	 79.0126 	 0.2378 	 0.666667 	 450 	 87.1649 	 77.8623 	 63.5284 
51200.jpg 	 102281 	 100.6999 	 0.1006 	 0.666667 	 450 	 111.1419 	 95.1680 	 101.7455 
51205.jpg 	 118926 	 128.4816 	 0.1380 	 0.666667 	 450 	 148.9952 	 122.0530 	 107.6006 
51208.jpg 	 122697 	 117.8219 	 0.2190 	 0.664444 	 450 	 120.7465 	 116.5611 	 116.9129 
51209.jpg 	 120142 	 98.2175 	 0.1706 	 0.664444 	 450 	 106.2146 	 95.8315 	 89.4221 
51211.jpg 	 141321 	 111.5008 	 0.2892 	 0.666667 	 450 	 119.4216 	 108.5883 	 105.4452 
51216.jpg 	 108418 	 83.2679 	 0.1141 	 0.666667 	 450 	 92.4327 	 79.7400 	 77.4090 
51218.jpg 	 144427 	 83.8272 	 0.2722 	 0.664444 	 450 	 99.7572 	 81.3026 	 54.9800 
51220.jpg 	 113693 	 143.2336 	 0.1880 	 0.664444 	 450 	 149.7178 	 140.6441 	 139.5875 
51222.jpg 	 123587 	 70.1028 	 0.1777 	 0.666667 	 450 	 66.2651 	 73.0346 	 65.1122 
51268.jpg 	 156916 	 124.1837 	 0.2535 	 0.666667 	 450 	 135.9280 	 119.6777 	 116.5588 
51276.jpg 	 122883 	 136.3896 	 0.2001 	 0.664444 	 450 	 134.6382 	 137.6799 	 134.3143 
51278.jpg 	 138123 	 122.3234 	 0.2749 	 0.664444 	 450 	 124.5551 	 121.1503 	 122.3320 
51289.jpg 	 120732 	 178.5103 	 0.2797 	 0.664444 	 450 	 180.8337 	 177.9319 	 174.5260 
51305.jpg 	 126485 	 86.3633 	 0.1942 	 0.664444 	 450 	 96.8105 	 83.8118 	 72.0744 
51309.jpg 	 144985 	 114.1297 	 0.3142 	 0.666667 	 450 	 115.6271 	 113.2198 	 114.8850 
51311.jpg 	 117614 	 87.9171 	 0.2233 	 0.664444 	 450 	 89.0128 	 87.5545 	 86.8687 
